bedrooms,community,drive,latitude,longitude,lotDepth,lotFront,parkingSpaces,price,room1,room4,room6,rooms,rooms1square,rooms2square,rooms3square,rooms4square,rooms5square,rooms6square,daysOnMarket,buildingTypeId
4,393,8,43.6829464,-79.8491218,90.22,24.51,2,659900.0,16,18,2,5.0,30.025200000000005,30.025200000000005,9.9,18.5861,9.6368,8.36,56,6
4,148,4,43.8972624,-79.23739990000001,104.99,23.79,2,708888.0,12,16,1,8.0,17.659499999999994,11.6283,8.548800000000002,12.595999999999998,20.6682,8.844999999999997,50,3
6,598,1,43.8990045,-79.3670374,100.0,40.0,10,1499000.0,16,7,17,12.0,19.78,14.212,11.7115,11.7115,21.9852,4.620000000000001,73,3
5,119,8,44.0418198,-79.4716849,110.0,51.0,15,819000.0,16,18,6,8.0,16.3875,8.1144,12.0694,15.084,8.475999999999999,9.936000000000002,47,3
5,393,8,43.69370960000001,-79.8452584,93.0,37.53,10,934900.0,16,13,20,12.0,13.265999999999998,13.265999999999998,22.0668,11.088,12.1968,25.175,68,3
4,150,9,43.9045361,-78.8090756,104.99,49.21,10,599900.0,16,10,1,7.0,24.053400000000003,10.4535,13.2825,22.143,15.5364,10.4104,20,3
5,155,8,43.8894124,-79.4287867,115.66,40.25,18,728000.0,16,18,2,6.0,12.92,10.0605,9.990000000000002,11.31,10.9512,8.84,56,3
6,639,8,44.05628400000001,-79.493445,116.34,40.03,15,1288000.0,16,7,23,11.0,24.4979,15.8631,13.4596,14.0277,22.899,8.116200000000001,49,3
4,101,4,43.6657644,-79.36377540000002,132.0,15.63,1,1295000.0,16,18,10,5.0,21.168000000000006,13.1445,16.1393,18.3103,15.8631,27.776,8,6
7,170,8,43.8732869,-78.93967420000001,91.3,43.14,13,599800.0,16,18,2,7.0,19.0755,19.0755,8.899799999999997,16.3856,12.301799999999998,9.6795,42,3
5,336,8,43.8653314,-79.522888,103.04,24.93,15,825000.0,16,7,20,8.0,22.387,22.387,8.357000000000001,9.76,20.28,17.2,50,3
