province,city,address,postalCode,longitude,latitude,price,buildingTypeId,tradeTypeId,style,community,airConditioning,washrooms,frontingOn,familyRoom,lotDepth,lotFront,drive,fireplaceStove,heatSource,garageType,heatType,kitchens,parkingSpaces,pool,room1,room2,room3,room4,room5,room6,rooms,sewers,taxes,garageSpaces,totalParkingSpaces,daysOnMarket,bedrooms,rooms1square,rooms2square,rooms3square,rooms4square,rooms5square,rooms6square
Ontario,Toronto,35 ALMORE AVE,M3H2G9,-79.4394296,43.7475627,1438000.0,3,1,Bungalow,Clanton Park,Central Air,3.0,S,Y,110.0,50.0,Private,N,Gas,None,Forced Air,1.0,3.0,None,Kitchen,Living,Dining,Master,2nd Br,3rd Br,7.0,Sewers,4227.69,0.0,3.0,59,5.0,178.39799999999997,91.698,91.698,107.6,120.125,86.3939
Ontario,Barrie,42 BEDFORD ESTATES CRES,L4N9K5,-79.6334338188171,44.3616431412701,599900.0,3,1,2-Storey,Bayshore,None,3.0,S,Y,88.0,40.0,Private,N,Gas,Built-In,Forced Air,1.0,1.0,None,Living,Kitchen,Dining,Family,Master,2nd Br,8.0,Sewers,0.0,1.0,2.0,62,3.0,13.92,7.050000000000001,10.05,11.200000000000001,15.924999999999999,13.8225
Ontario,Brampton,24 IVOR CRES,L7A0B6,-79.8491218,43.6829464,659900.0,6,1,2-Storey,Northwest Brampton,Central Air,3.0,S,N,90.22,24.51,Private,N,Gas,Built-In,Forced Air,1.0,1.0,None,Living,Dining,Kitchen,Master,2nd Br,3rd Br,5.0,Sewers,1987.12,1.0,2.0,56,3.0,30.025200000000005,30.025200000000005,9.9,18.5861,9.6368,8.36
Ontario,Markham,17 CAPOGNA ST,L6B0H5,-79.23739990000001,43.8972624,708888.0,3,1,2-Storey,Cornell,Central Air,4.0,E,Y,104.99,23.79,Lane,N,Gas,Detached,Forced Air,1.0,1.0,None,Great Rm,Kitchen,Breakfast,Living,Master,2nd Br,8.0,Sewers,3565.75,1.0,2.0,50,3.0,17.659499999999998,11.628300000000001,8.548800000000002,12.596,20.6682,8.844999999999999
Ontario,Markham,5 CORDUROY RD,L6C0L8,-79.3670374,43.8990045,1499000.0,3,1,2 1/2 Storey,Victoria Square,Central Air,5.0,E,Y,100.0,40.0,Available,Y,Gas,Built-In,Forced Air,1.0,2.0,None,Living,Dining,Kitchen,Breakfast,Family,Library,12.0,Sewers,7270.25,2.0,4.0,73,5.0,19.779999999999998,14.212,11.711500000000001,11.711500000000001,21.9852,4.620000000000001
Ontario,Newmarket,417 BORDEN AVE,L3Y5C1,-79.4716849,44.0418198,819000.0,3,1,2-Storey,Central Newmarket,Central Air,3.0,E,N,110.0,51.0,Private,Y,Gas,Attached,Forced Air,1.0,4.0,None,Living,Dining,Kitchen,Master,Br,Br,8.0,Sewers,3701.0,2.0,4.0,47,4.0,16.3875,8.1144,12.0694,15.084000000000001,8.475999999999999,9.936000000000002
Ontario,Vaughan,245 CONLEY ST,L4J2Z2,-79.45718199999999,43.79190820000001,1149000.0,3,1,2-Storey,Lakeview Estates,Central Air,4.0,N,Y,108.26,34.44,Private,Y,Gas,Attached,Forced Air,1.0,4.0,None,Living,Dining,Family,Kitchen,Master,2nd Br,8.0,Sewers,5100.0,2.0,6.0,64,4.0,17.3865,8.473,13.905999999999999,20.4,39.467099999999995,15.209000000000001
Ontario,Markham,30 JOHN BUTTON BLVD,L3R9A2,-79.3547818,43.8598455,1899000.0,3,1,2-Storey,Buttonville,Central Air,4.0,W,Y,111.43,49.58,Private,Y,Gas,Attached,Forced Air,1.0,4.0,None,Living,Dining,Kitchen,Breakfast,Family,Foyer,9.0,Sewers,6375.32,2.0,6.0,59,4.0,20.808899999999998,15.944400000000002,9.563,8.9012,16.7259,8.986999999999998
Ontario,Brampton,33 POLSTAR RD,L7A4H1,-79.8452584,43.693709600000005,934900.0,3,1,2-Storey,Northwest Brampton,Central Air,4.0,E,Y,93.0,37.53,Private,Y,Gas,Attached,Forced Air,1.0,2.0,None,Living,Dining,Family,Kitchen,Breakfast,Master,12.0,Sewers,5600.0,2.0,4.0,68,4.0,13.266,13.266,22.066799999999997,11.088,12.1968,25.175
Ontario,Clarington,71 FOXHUNT TR,L1E1E4,-78.8090756,43.9045361,599900.0,3,1,Sidesplit 5,Courtice,Central Air,3.0,W,Y,104.99,49.21,Pvt Double,Y,Gas,Attached,Forced Air,1.0,2.0,None,Living,Dining,Kitchen,Family,Master,2nd Br,7.0,Sewers,4389.81,2.0,4.0,20,3.0,24.053400000000003,10.4535,13.2825,22.142999999999997,15.5364,10.4104
