longitude,latitude,price,buildingTypeId,style,airConditioning,washrooms,basement1,cableTVIncluded,cacIncluded,familyRoom,fireplaceStove,heatSource,garageType,heatType,kitchens,parkingSpaces,parkingIncluded,room1,room1Length,room1Width,room2,room2Length,room2Width,room3,room3Length,room3Width,room4,room4Length,room4Width,room5,room5Length,room5Width,rooms,streetDirection,waterIncluded,totalParkingSpaces,daysOnMarket,bedrooms
-79.4394296,43.7475627,1438000.0,3,9,0,3.0,3,0,0,1,0,1,4,2,1.0,3.0,0,14,17.49,10.2,16,10.2,8.99,8,10.2,8.99,17,10.76,10.0,0,12.5,9.61,7.0,0,0,3.0,59,5.0
-79.6334338188171,44.3616431412701,599900.0,3,2,1,3.0,4,0,0,1,0,1,1,2,1.0,1.0,0,17,4.35,3.2,13,3.0,2.35,8,3.35,3.0,9,3.5,3.2,21,4.55,3.5,8.0,0,0,2.0,62,3.0
-79.3050379,43.8101105,518000.0,6,3,0,3.0,6,1,1,1,0,1,7,2,1.0,1.0,2,17,10.43,9.61,9,14.04,8.76,13,11.05,10.04,0,10.5,7.68,1,10.69,9.02,8.0,0,2,1.0,50,4.0
-79.57992209999998,43.7477413,199900.0,1,4,0,1.0,6,1,2,0,0,1,7,2,1.0,2.0,2,17,5.19,3.45,9,3.49,3.3,13,4.2,2.45,17,4.99,3.2,0,3.8,2.74,6.0,0,2,2.0,56,2.0
-79.8491218,43.6829464,659900.0,6,2,0,3.0,11,0,0,0,0,1,1,2,1.0,1.0,0,17,5.73,5.24,9,5.73,5.24,13,3.96,2.5,17,4.93,3.77,0,3.17,3.04,5.0,0,0,2.0,56,3.0
-79.71498759999999,43.63433970000001,2300.0,6,2,0,3.0,4,1,1,0,0,1,1,2,1.0,1.0,2,17,5.78,4.85,9,5.78,4.85,13,5.78,3.5,17,4.19,3.33,0,2.88,2.85,8.0,0,1,2.0,54,3.0
-79.70012940000002,44.3395479,529900.0,3,2,0,3.0,3,0,0,1,1,1,0,2,1.0,2.0,0,17,3.35,3.2,9,3.35,3.2,13,2.74,3.35,6,3.35,3.35,11,3.47,3.35,8.0,0,0,3.0,40,3.0
-79.23739990000001,43.8972624,708888.0,3,2,0,4.0,9,0,0,1,0,1,3,2,1.0,1.0,0,13,3.05,5.79,13,2.49,4.67,6,3.12,2.74,15,3.35,3.76,21,3.99,5.18,8.0,0,0,2.0,50,3.0
-79.77158940000002,43.4356294,679000.0,6,3,0,2.0,6,0,0,1,1,0,0,2,1.0,1.0,0,9,3.07,2.64,12,5.28,3.51,13,2.84,2.44,17,4.42,3.3,0,3.15,2.74,5.0,0,0,2.0,59,3.0
-79.3916429,43.6430505,549900.0,1,4,0,1.0,6,1,2,0,0,1,7,2,1.0,1.0,2,12,2.16,1.17,13,2.43,2.36,8,7.47,2.72,15,7.47,2.72,8,2.34,2.67,5.0,4,2,1.0,72,2.0
