province,city,address,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,daysOnMarket,bedrooms
Manitoba,Winnipeg,144 Worthington Ave,-97.099787,49.841404,249900.0,1.0,1,12/6/2018,8,3.0
Ontario,Ottawa,52 Fulton Avenue,-75.693881,45.392297,819000.0,1.0,1,7/6/2018,9,3.0
Nova Scotia,Dartmouth,18 Londra Court,-63.5022326846557,44.68610570000001,184900.0,1.0,1,15/6/2018,13,3.0
Ontario,Bowmanville,339 Longworth Ave,-78.6822762,43.931821,539900.0,1.0,1,7/6/2018,22,3.0
Ontario,Kanata,69 Saddlehorn Crescent,-75.859353,45.287924,539900.0,1.0,1,9/6/2018,7,4.0
Ontario,Toronto,161 Drayton Ave,-79.3196983,43.6834014,929900.0,1.0,1,15/6/2018,11,3.0
British Columbia,Victoria,10-1393 Craigflower Rd,-123.419892,48.448968,99500.0,1.0,1,15/6/2018,29,1.0
Ontario,Kitchener,60 Valleyscape Drive,-80.427509,43.373722,999900.0,1.0,1,2/6/2018,26,5.0
Ontario,Toronto,512-318 King St E,-79.3637223,43.6525725,429900.0,2.0,1,20/6/2018,21,1.0
Ontario,Toronto,512-318 King St E,-79.3637223,43.6525725,429900.0,2.0,1,20/6/2018,21,4.0
Ontario,Arthur,8827 Wellington 14 Road,-80.543454,43.886114,549900.0,1.0,1,13/6/2018,2,4.0
Ontario,North York,209-2737 Keele St,-79.48075899999998,43.7257789,249000.0,2.0,1,23/6/2018,13,2.0
Ontario,Mississauga,1401-75 King St E,-79.613175,43.5804314,406000.0,2.0,1,19/6/2018,9,2.0
Ontario,Mississauga,2174 Belfast Cres,-79.6682611,43.5337503,1049900.0,1.0,1,28/6/2018,9,4.0
Ontario,Scarborough,2004-1470 Midland Ave,-79.2658163,43.7524146,449000.0,2.0,1,9/6/2018,27,2.0
New Brunswick,Bathurst,105 Bayshore Drive,-65.616417,47.652058,194000.0,1.0,1,16/6/2018,34,2.0
Ontario,North York,47 Blue Springs Rd,-79.49049120000002,43.71888679999999,889000.0,1.0,1,22/6/2018,28,4.0
Ontario,Kitchener,202-195 Commonwealth Street,-80.503203,43.403768,421900.0,2.0,1,16/6/2018,5,2.0
Alberta,Edmonton,9247 Ottewell Rd Nw,-113.4328278,53.5286418,549900.0,1.0,1,10/6/2018,16,4.0
Ontario,Brampton,1 Cool Water Dr,-79.76379,43.7555052,969900.0,1.0,1,5/6/2018,48,6.0
Ontario,Innisfil,1245 Coleman Crt,-79.5628682,44.3120391,437900.0,1.0,1,28/6/2018,9,3.0
Ontario,Binbrook,51 Fairgrounds Drive,-79.81095,43.127518,524990.0,1.0,1,14/6/2018,23,3.0
Ontario,Toronto,173 Emerson Ave,-79.44278309999999,43.6644199,998900.0,1.0,1,14/6/2018,8,4.0
Ontario,Welland,141 Lametti Dr,-79.225686,42.9899445,579000.0,1.0,1,3/6/2018,33,4.0
Ontario,Oakville,54-295 Royalton Common,-79.70820440000001,43.4788278,839900.0,1.0,1,23/6/2018,17,3.0
Ontario,Oakville,303-216 Oak Park Blvd,-79.7161931,43.4817293,389900.0,2.0,1,20/6/2018,14,1.0
Ontario,North York,1003-26 Norton Ave,-79.41283100000003,43.7726571,725000.0,2.0,1,9/6/2018,5,2.0
Alberta,Calgary,204 Aspen Stone Bv Sw,-114.216808,51.039047,429900.0,1.0,1,5/6/2018,12,2.0
Ontario,St Thomas,14 Acorn Trail,-81.1537,42.759922,465000.0,1.0,1,7/6/2018,21,5.0
Ontario,Toronto,510-225 Sackville St,-79.36272729999997,43.6598236,499900.0,2.0,1,22/6/2018,6,1.0
Ontario,Etobicoke,2303-2240 Lake Shore Blvd W,-79.4833203,43.62106370000001,439900.0,2.0,1,13/6/2018,25,2.0
Ontario,Windsor,737 Rodfam Court,-83.003582,42.243114,309900.0,2.0,1,7/6/2018,6,2.0
Saskatchewan,Saskatoon,155 Pickard By,-106.56458700000002,52.155798,494900.0,2.0,1,15/6/2018,22,1.0
Ontario,Etobicoke,612-40 Panorama Crt,-79.57992209999998,43.7477413,219900.0,1.0,1,5/6/2018,21,4.0
Alberta,Calgary,73 Evansbrooke Wy Nw,-114.121222,51.164227,524900.0,1.0,1,1/6/2018,21,4.0
Ontario,Oro-Medonte,954 3 Line S,-79.5675044,44.419087,899900.0,1.0,1,5/6/2018,23,4.0
Alberta,Drumheller,231 13 Street Nw,-112.741992,51.468768,438800.0,1.0,1,5/6/2018,25,3.0
Ontario,Tottenham,11 Stych St,-79.80350200000002,44.0124513,675000.0,1.0,1,13/6/2018,23,3.0
