province,longitude,latitude,price,buildingTypeId,bedrooms,daysOnMarket
Manitoba,-97.099787,49.841404,249900.0,1.0,3.0,8
Ontario,-75.693881,45.392297,819000.0,1.0,3.0,9
British Columbia,-123.0629255,49.2487313,1385000.0,1.0,5.0,4
Nova Scotia,-63.5022326846557,44.68610570000001,184900.0,1.0,3.0,13
Ontario,-78.6822762,43.931821,539900.0,1.0,3.0,22
Ontario,-75.859353,45.287924,539900.0,1.0,4.0,7
Ontario,-79.3196983,43.6834014,929900.0,1.0,3.0,11
British Columbia,-123.419892,48.448968,99500.0,1.0,1.0,29
Ontario,-80.427509,43.373722,999900.0,1.0,5.0,26
Ontario,-79.3637223,43.6525725,429900.0,2.0,1.0,21
Ontario,-79.3637223,43.6525725,429900.0,2.0,4.0,21
Ontario,-80.543454,43.886114,549900.0,1.0,4.0,2
Ontario,-79.48075899999998,43.7257789,249000.0,2.0,2.0,13
Ontario,-79.613175,43.5804314,406000.0,2.0,2.0,9
Ontario,-79.6682611,43.5337503,1049900.0,1.0,4.0,9
Ontario,-79.2658163,43.7524146,449000.0,2.0,2.0,27
New Brunswick,-65.616417,47.652058,194000.0,1.0,2.0,34
Ontario,-79.49049120000002,43.71888679999999,889000.0,1.0,4.0,28
Ontario,-80.503203,43.403768,421900.0,2.0,2.0,5
Alberta,-113.4328278,53.5286418,549900.0,1.0,4.0,16
Ontario,-79.76379,43.7555052,969900.0,1.0,6.0,48
Ontario,-79.5628682,44.3120391,437900.0,1.0,3.0,9
Ontario,-79.81095,43.127518,524990.0,1.0,3.0,23
Ontario,-79.44278309999999,43.6644199,998900.0,1.0,4.0,8
Ontario,-79.225686,42.9899445,579000.0,1.0,4.0,33
Ontario,-79.70820440000001,43.4788278,839900.0,1.0,3.0,17
Ontario,-79.7161931,43.4817293,389900.0,2.0,1.0,14
Ontario,-79.41283100000003,43.7726571,725000.0,2.0,2.0,5
Alberta,-114.216808,51.039047,429900.0,1.0,2.0,12
Ontario,-81.1537,42.759922,465000.0,1.0,5.0,21
Ontario,-79.36272729999997,43.6598236,499900.0,2.0,1.0,6
Ontario,-79.4833203,43.62106370000001,439900.0,2.0,2.0,25
Ontario,-83.003582,42.243114,309900.0,2.0,2.0,6
Saskatchewan,-106.56458700000002,52.155798,494900.0,2.0,1.0,22
Ontario,-79.57992209999998,43.7477413,219900.0,1.0,4.0,21
Alberta,-114.121222,51.164227,524900.0,1.0,4.0,21
Ontario,-79.5675044,44.419087,899900.0,1.0,4.0,23
Alberta,-112.741992,51.468768,438800.0,1.0,3.0,25
Ontario,-79.80350200000002,44.0124513,675000.0,1.0,3.0,23
Alberta,-113.3738448,53.6138556,249500.0,2.0,2.0,24
Ontario,-78.93823859999998,43.8597261,495000.0,1.0,4.0,32
Ontario,-79.855818,44.31289,599000.0,1.0,3.0,22
Ontario,-79.705472,43.604796,699900.0,1.0,3.0,8
Ontario,-79.7450196,43.4680954,678900.0,1.0,4.0,10
Ontario,-79.051926,43.871704,649900.0,2.0,4.0,13
Alberta,-118.8111982,55.1889605,339900.0,1.0,3.0,26
Saskatchewan,-106.753806,52.134343,389900.0,1.0,3.0,34
Ontario,-75.731289,45.281306,374900.0,1.0,2.0,15
Ontario,-76.365113,45.446144,139900.0,2.0,1.0,8
Alberta,-114.945447,51.297248,2450000.0,1.0,4.0,21
Ontario,-79.24918199999998,43.141717,225000.0,2.0,2.0,24
Ontario,-79.4523692,43.7152182,395000.0,1.0,3.0,2
Ontario,-81.275193,42.960492,274900.0,1.0,3.0,6
