province,city,address,postalCode,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,bedrooms,ownershiptype,daysOnMarket
Quebec,Chomedey (Laval),#201 - 3705 Av. Jean-Béraud,H7T0K7,-73.76575434,45.56343675,1510.0,1,2,20/3/2018,2.0,Condominium/Strata,169
Nova Scotia,Lawrencetown,356 Carleton Road,B0S1M0,-65.1514597,44.8750759,185000.0,3,1,13/3/2018,4.0,Freehold,176
Alberta,Vegreville,4710 52 ST,T9C1M7,-112.0605,53.4951,219000.0,3,1,23/3/2018,3.0,Freehold,162
Alberta,Vegreville,4710 52 ST,T9C1M7,-112.0605,53.4951,219000.0,3,1,23/3/2018,5.0,Freehold,162
Alberta,Haysboro,#601 8710 HORTON RD SW,T2V0P7,-114.072776,50.975928,233000.0,1,1,24/3/2018,2.0,Condominium/Strata,162
Alberta,Haysboro,#601 8710 HORTON RD SW,T2V0P7,-114.072776,50.975928,233000.0,1,1,24/3/2018,1.0,Condominium/Strata,162
Ontario,Ottawa,144 CLARENCE STREET UNIT#4A,K1N5P8,-75.69091,45.42978,2700.0,1,2,24/3/2018,1.0,Freehold,163
Quebec,Le Sud-Ouest (Montréal),6522 Rue Jogues,H4E2W6,-73.60077199999999,45.452447,1200.0,1,2,14/3/2018,3.0,Condominium/Strata,175
British Columbia,Golden,1417 Adolph Johnson Road N,V0A1H0,-117.00648100000001,51.3795,519500.0,3,1,21/3/2018,4.0,Freehold,164
Ontario,Cherry Valley,4 CHIPMUNK LANE,K0K1P0,-77.175983,43.928441,359000.0,3,1,21/3/2018,2.0,Condominium,163
Ontario,Oakville,1383 WAVERLY AVE,L6L2S4,-79.7076247,43.418839899999995,1198800.0,3,1,1/3/2018,4.0,Freehold,185
Quebec,Rosemont/La Petite-Patrie (Montréal),6812 Rue St-Dominique,H2S3A9,-73.61278654,45.53305506,4900.0,1,2,21/3/2018,4.0,Undivided Co-ownership,168
Saskatchewan,Beechy,311 2nd ST E,S0L0C0,-107.383273,50.878367,90000.0,17,1,9/3/2018,2.0,Freehold,168
Quebec,Hull (Gatineau),#3 - 69 Rue de la Fondrière,J8Z3J3,-75.768813,45.47218,174900.0,1,1,9/3/2018,2.0,Condominium/Strata,168
Alberta,Edmonton,21323 45A AV NW,T6M0H1,-113.68809478158,53.483495997575,339000.0,12,1,15/3/2018,3.0,Freehold,163
Quebec,Ville-Marie (Montréal),690 Rue St-André,H2L5B9,-73.55156099999999,45.513884999999995,599000.0,1,1,2/3/2018,3.0,Condominium/Strata,184
Ontario,Ottawa,36 BELLINGHAM PL,K1T4B2,-75.6302392,45.3666861,689999.0,3,1,2/3/2018,4.0,Freehold,175
Ontario,Georgian Bluffs,318818 GREY ROAD 1,N4K5N4,-80.94546600000001,44.636675,1290000.0,3,1,2/3/2018,3.0,Freehold,165
Quebec,Chomedey (Laval),4914 Rue Jacques-Plante,H7W0J6,-73.776649,45.538844,259900.0,1,1,1/3/2018,2.0,Condominium/Strata,171
Quebec,Sainte-Foy/Sillery/Cap-Rouge (Québec),#311 - 1111 Rue de Dijon,G1W0C9,-71.31066316,46.75504268,379900.0,1,1,4/3/2018,2.0,Condominium/Strata,179
Quebec,Victoriaville,67 Rue Lanouette,G6P3G8,-71.971889,46.062738,159900.0,1,1,15/3/2018,2.0,Condominium/Strata,162
