"id","province","city","address","postalCode","longitude","latitude","price","buildingTypeId","tradeTypeId","listingDate","daysOnMarket","bedrooms","bathroomTotal","propertyType","ownerShipType"
"379542","Ontario","Toronto","Main/Lw-38 Alfresco Lawn","M4E 0B3","-79.2945943","43.6679276","2975.00","3","2","2018-5-23","70","1","2","Single Family","Freehold"
"333278","Ontario","Scarborough","707-19 Rosebank Dr","M1B 5Z2","-79.2373325","43.7913975","2500.00","6","2","2018-8-23","4","3","3","Single Family","Condominium/Strata"
"675347","Ontario","North York","1216-35 Hollywood Ave","M2N 0A9","-79.4099902","43.7656853","438000.00","1","1","2018-7-12","21","1","1","Single Family","Condominium/Strata"
"342778","Ontario","Toronto","511-170 Bayview Ave","M5A 0M4","-79.3539119","43.6551919","1800.00","1","2","2018-7-17","17","0 + 1","1","Single Family","Condominium/Strata"
"596357","Ontario","Toronto","604-1048 Broadview Ave","M4K 2B8","-79.3570064","43.684619","2300.00","1","2","2018-7-17","43","1","1","Single Family","Condominium/Strata"
"494367","Ontario","Toronto","1202-170 Avenue Rd","M5R 0A4","-79.3972626","43.6752958","599000.00","1","1","2018-7-6","33","1","1","Single Family","Condominium/Strata"
"582561","Ontario","Etobicoke","4 Grimsby Crt","M9A 2A5","-79.5477213","43.6710438","1549000.00","3","1","2018-7-4","58","3 + 2","3","Single Family","Freehold"
"943684","Ontario","Toronto","11 Chesley Ave","M6H 1H5","-79.4363576","43.654267","1049000.00","3","1","2018-8-15","7","3","2","Single Family","Freehold"
"545878","Ontario","North York","1211-68 Canterbury Pl","M2N 2N1","-79.4155086","43.7737483","668000.00","1","1","2018-5-29","80","2","2","Single Family","Condominium/Strata"
"780299","Ontario","Etobicoke","Ph4-350 Mill Rd","M9C 5R7","-79.5857567","43.6407217","549900.00","1","1","2018-6-22","55","2","2","Single Family","Condominium/Strata"
"906132","Ontario","Etobicoke","413-8 Drummond St","M8V 1Y8","-79.4981673","43.6133788","399900.00","6","1","2018-8-17","12","1","1","Single Family","Condominium/Strata"
"373294","Ontario","Toronto","2911-28 Ted Rogers Way","M4Y 2T4","-79.3805814","43.6705467","2575.00","1","2","2018-7-26","6","2","1","Single Family","Condominium/Strata"
"503577","Ontario","Toronto","1209-8 Mercer St","M5V 0C4","-79.3899085","43.6460058","459900.00","1","1","2018-6-4","70","0","1","Single Family","Condominium/Strata"
"582560","Ontario","Scarborough","11 Dusk Owl Dr","M1X 1Y1","-79.2364143","43.8306888","2100.00","3","2","2018-7-20","39","3","3","Single Family","Freehold"
"812768","Ontario","Toronto","2909-28 Wellesley St E","M4Y 0C4","-79.383028","43.6655881","3200.00","1","2","2018-8-23","6","2","1","Single Family","Condominium/Strata"
"518268","Ontario","Etobicoke","2 Market Garden Mews","M8Z 0A5","-79.512668","43.6232853","799900.00","6","1","2018-7-11","44","3","2","Single Family","Freehold"
"281684","Ontario","Toronto","2436 Gerrard St E","M4E 2E9","-79.28843","43.686721","3600.00","3","2","2018-4-26","122","4 + 1","3","Single Family","Freehold"
"730691","Ontario","Toronto","703-170 Bayview Ave","M5A 0M4","-79.3539119","43.6551919","1850.00","1","2","2018-7-25","8","0 + 1","1","Single Family","Condominium/Strata"
"458226","Ontario","Toronto","1908-16 Yonge St","M5E 1R4","-79.3760259","43.6435428","2350.00","1","2","2018-8-9","8","1 + 1","1","Single Family","Condominium/Strata"
"687361","Ontario","Toronto","915-51 Trolley Cres","M5A 0E9","-79.3553724","43.6569834","849900.00","1","1","2018-7-12","44","2","2","Single Family","Condominium/Strata"
"447367","Ontario","Toronto","2305-32 Davenport Rd","M5R 1H3","-79.3898897","43.6732718","930000.00","1","1","2018-8-17","11","2","2","Single Family","Condominium/Strata"
"455711","Ontario","Toronto","N123-120 Bayview Ave","M5A 3R7","-79.3540823","43.6540167","2998.00","1","2","2018-8-9","10","2","2","Single Family","Condominium/Strata"
"808092","Ontario","Toronto","3010-125 Peter St","M5V 2G9","-79.3930652","43.6483169","2150.00","1","2","2018-8-9","2","1","1","Single Family","Condominium/Strata"
"389359","Ontario","Scarborough","708-22 East Haven Dr","M1N 1L9","-79.2517482","43.7046457","1700.00","1","2","2018-8-2","6","1","1","Single Family","Condominium/Strata"
"570390","Ontario","Toronto","2802-390 Cherry St","M5A 0E2","-79.3573819","43.6505536","1049900.00","1","1","2018-7-26","7","2","2","Single Family","Condominium/Strata"
"665660","Ontario","Toronto","1113-96 St Patrick St","M5T 1V1","-79.3900311","43.6531643","2050.00","1","2","2018-8-4","7","1","1","Single Family","Condominium/Strata"
"52065","Ontario","North York","81 Regina Ave","M6A 1R5","-79.4376723","43.7264316","1199999.00","3","1","2017-6-22","406","2","1","Single Family","Freehold"
"645351","Ontario","North York","303-23 Sheppard Ave E","M2N 0C8","-79.4088672","43.7612288","838000.00","1","1","2018-7-31","15","3 + 1","2","Single Family","Condominium/Strata"
"758841","Ontario","North York","903-1103 Leslie St","M3C 4G8","-79.3477312","43.7202155","2500.00","1","2","2018-8-1","15","2","2","Single Family","Condominium/Strata"
"539391","Ontario","Scarborough","2032-100 Mornelle Crt","M1E 4X2","-79.1950145","43.787277","270000.00","6","1","2018-6-6","56","2 + 1","2","Single Family","Condominium/Strata"
"125142","Ontario","North York","134 Fenn Ave","M2P 1X6","-79.3914511","43.7510477","2088000.00","3","1","2018-6-8","55","4","3","Single Family","Freehold"
"636043","Ontario","Toronto","Ph-1014-23 Glebe Rd W","M5P 0A1","-79.3978114","43.7006134","599000.00","1","1","2018-7-7","41","1","1","Single Family","Condominium/Strata"
"771536","Ontario","Scarborough","Ph107-350 Alton Towers Circ","M1V 5E3","-79.2750706","43.8229012","459900.00","1","1","2018-7-8","46","2 + 1","2","Single Family","Condominium/Strata"
"529304","Ontario","Toronto","739-222 The Esplanade St","M5A 4M8","-79.3655033","43.6495422","679999.00","1","1","2018-7-31","15","2","2","Single Family","Condominium/Strata"
"421552","Ontario","Toronto","1705-170 Sumach St","M5A 3K2","-79.3605766","43.6602919","1695.00","1","2","2018-8-13","11","0","1","Single Family","Condominium/Strata"
"705560","Ontario","Scarborough","(Main)-26 Aveline Cres","M1H 2P5","-79.2479122","43.7697402","2100.00","3","2","2018-6-26","44","3","1","Single Family","Freehold"
"447715","Ontario","Scarborough","82 Portwine Dr","M1C 0C9","-79.127673","43.7842176","999000.00","3","1","2018-6-27","48","4 + 1","4","Single Family","Freehold"
"688438","Ontario","North York","425 Drewry Ave","M2R 2K6","-79.4381156","43.7823232","3138000.00","3","1","2018-7-14","48","4 + 2","6","Single Family","Freehold"
"745309","Ontario","North York","1801-5168 Yonge St","M2N 5P6","-79.413783","43.7696635","2350.00","1","2","2018-6-14","53","1 + 1","1","Single Family","Condominium/Strata"
"1016205","Ontario","Scarborough","26-400 Orton Park Rd","M1G 3T7","-79.2164667","43.7787862","499900.00","6","1","2018-7-24","18","3","2","Single Family","Condominium/Strata"
"406594","Ontario","Toronto","507-15 Fort York Blvd","M5J 2Y5","-79.3938994","43.6400616","2100.00","1","2","2018-8-13","4","1 + 1","1","Single Family","Condominium/Strata"
"527331","Ontario","Scarborough","623-10 Guildwood Pkwy","M1E 5B5","-79.2050119","43.7494139","575000.00","1","1","2018-8-8","4","2","2","Single Family","Condominium/Strata"
"535157","Ontario","Toronto","Main-603 Ossington Ave","M6G 3T6","-79.4241656","43.6587653","2200.00","3","2","2018-8-17","11","1","2","Single Family","Freehold"
"432612","Ontario","Toronto","4601-88 Scott St","M5E 0A9","-79.3761458","43.6481341","2700.00","1","2","2018-6-27","52","1 + 1","1","Single Family","Condominium/Strata"
"480112","Ontario","Toronto","2203-180 University Ave","M5H 0A2","-79.3857683","43.648953","4950.00","1","2","2018-7-19","41","1 + 1","2","Single Family","Condominium/Strata"
"572210","Ontario","North York","2505-8 Hillcrest Ave","M2N 6Y6","-79.4120753","43.7685996","1850.00","1","2","2018-7-17","38","1","1","Single Family","Condominium/Strata"
"543935","Ontario","Toronto","101 Logan Ave","M4M 2M9","-79.3408025","43.6569625","3400.00","6","2","2018-8-25","5","3","2","Single Family","Freehold"
"434117","Ontario","North York","1608-5793 Yonge St","M2M 3T9","-79.4161002","43.7840324","2550.00","1","2","2018-7-27","13","2","2","Single Family","Condominium/Strata"
"520219","Ontario","North York","2905-11 Bogert Ave","M2N 1K4","-79.411703","43.760315","2790.00","1","2","2018-8-18","5","2","2","Single Family","Condominium/Strata"
"942542","Ontario","North York","252 Rustic Rd","M6L 1W4","-79.4940041","43.7147761","1199999.00","3","1","2018-8-22","8","4","4","Single Family","Freehold"
"387065","Ontario","North York","309-19 Avondale Ave","M2N 0A6","-79.4091085","43.7581185","1850.00","1","2","2018-8-1","7","0","1","Single Family","Condominium/Strata"
"684681","Ontario","North York","710-5 Frith Rd","M3N 2L5","-79.5157256","43.7459167","290000.00","1","1","2018-7-14","25","3","1","Single Family","Condominium/Strata"
"436373","Ontario","Toronto","4307-65 St Mary St","M5S 0A6","-79.3891532","43.6672109","2400.00","1","2","2018-8-1","13","1","1","Single Family","Condominium/Strata"
"500875","Ontario","Scarborough","34 Janellan Terr","M1E 3M9","-79.1567272","43.7700367","865000.00","3","1","2018-8-4","15","4","3","Single Family","Freehold"
