index,longitude,latitude,province,price,tradeTypeId,buildingTypeId,bedrooms,bathroomTotal,daysOnMarket,ownerShipType,predictions
0,-79.397247,43.159482,Ontario,365000.0,1,6,2,2,1,Condominium,27.39604377746582
1,-79.3539119,43.6551919,Ontario,1800.0,2,1,1,1,17,Condominium/Strata,14.814743995666504
2,-79.99030400000002,43.283443,Ontario,1588888.0,1,3,4,2,87,Freehold,72.88907623291016
3,-80.0173793,44.5035379,Ontario,799900.0,1,3,5,3,46,Freehold,56.18559265136719
4,-79.4395118,43.6902607,Ontario,1098800.0,1,3,5,3,51,Freehold,28.6165714263916
5,-77.331712,44.349491,Ontario,219900.0,1,3,3,1,15,Freehold,37.995460510253906
6,-80.338528,43.244288,Ontario,1699000.0,1,3,5,5,105,Freehold,80.29715728759766
7,-79.38990849999998,43.6460058,Ontario,459900.0,1,1,0,1,70,Condominium/Strata,28.602914810180664
8,-79.383028,43.6655881,Ontario,3200.0,2,1,2,1,6,Condominium/Strata,19.335704803466797
9,-81.249886,43.002895,Ontario,439900.0,1,3,3,1,17,Freehold,27.130542755126953
10,-79.6351873,43.5944944,Ontario,479900.0,1,1,3,2,23,Condominium/Strata,27.932819366455078
11,-79.809072,44.50753,Ontario,1775000.0,1,3,5,5,47,Freehold,72.8023681640625
12,-79.0264996,43.8906191,Ontario,889000.0,1,3,4,4,50,Freehold,37.78373718261719
13,-80.137606,43.9041777,Ontario,599000.0,1,3,4,2,84,Freehold,35.62010192871094
14,-78.85009759999998,43.8953171,Ontario,425000.0,1,3,3,1,121,Freehold,30.804824829101562
15,-76.310932,45.187669,Ontario,694900.0,1,3,4,4,173,Freehold,62.01820755004883
16,-79.27507059999998,43.8229012,Ontario,459900.0,1,1,3,2,46,Condominium/Strata,32.2412109375
17,-79.37605490000001,43.6460983,Ontario,2800.0,2,1,2,2,8,Condominium/Strata,17.715147018432617
18,-78.85257469999998,43.91755429999999,Ontario,524900.0,1,3,3,2,41,Freehold,33.28601837158203
19,-79.36057659999999,43.6602919,Ontario,1695.0,2,1,0,1,11,Condominium/Strata,15.796937942504883
20,-79.250105,43.164088,Ontario,289900.0,1,3,2,2,34,Freehold,30.594165802001953
21,-78.8756735,43.8932764,Ontario,1550.0,2,3,2,2,52,Freehold,28.220449447631836
22,-81.758385,43.311783,Ontario,349900.0,1,19,3,3,7,Condominium,35.28157424926758
23,-79.39389940000002,43.6400616,Ontario,2100.0,2,1,2,1,4,Condominium/Strata,15.250334739685059
24,-80.274633,43.339957,Ontario,624900.0,1,3,4,3,47,Freehold,32.32909393310547
25,-79.44644699999998,44.1012041,Ontario,799900.0,1,3,4,3,68,Freehold,46.72894287109375
26,-79.433621,43.8582521,Ontario,339000.0,1,1,1,1,30,Condominium/Strata,33.61064910888672
27,-79.72385600000001,43.241623,Ontario,409900.0,1,1,2,2,168,Condominium,32.92951202392578
28,-79.6056614,44.3590792,Ontario,684800.0,1,3,4,3,80,Freehold,45.56311798095703
29,-78.8596885,43.9025072,Ontario,399000.0,1,3,3,1,138,Freehold,29.32209014892578
30,-81.01386,46.466949,Ontario,339900.0,1,3,3,2,73,Freehold,61.14091110229492
31,-79.3408025,43.6569625,Ontario,3400.0,2,6,3,2,5,Freehold,20.05173110961914
32,-79.4161002,43.7840324,Ontario,2550.0,2,1,2,2,13,Condominium/Strata,23.761451721191406
33,-77.75065183639529,44.47695678946671,Ontario,750000.0,1,3,4,2,136,Freehold,55.596866607666016
34,-80.49728,44.468943,Ontario,299000.0,1,3,3,2,21,Freehold,42.24652099609375
35,-83.096404,42.137465,Ontario,479888.0,1,3,3,3,3,Freehold,44.33755111694336
36,-79.4387645,44.0488722,Ontario,1900.0,2,3,3,2,6,Freehold,32.11980438232422
37,-79.4173942,43.7829102,Ontario,2200.0,2,1,2,1,12,Condominium/Strata,20.759056091308594
38,-80.1924521,43.5017764,Ontario,446000.0,1,6,3,3,46,Condominium/Strata,28.1494197845459
39,-79.7746489,43.7015352,Ontario,456800.0,1,6,3,2,20,Condominium/Strata,27.381017684936523
40,-79.38233699999998,43.7652893,Ontario,2775.0,2,1,3,2,7,Condominium/Strata,18.79459571838379
41,-79.484424,43.624496,Ontario,519000.0,1,1,1,1,2,Condominium,30.328542709350586
42,-79.44131759999998,43.8526124,Ontario,699000.0,1,6,3,3,71,Freehold,34.348628997802734
43,-78.899918,43.9600821,Ontario,1650.0,2,6,2,2,19,Freehold,33.535057067871094
44,-79.37621593481249,43.6668448849523,Ontario,469000.0,1,1,1,1,58,Condominium/Strata,25.628875732421875
45,-79.9379462,43.6498479,Ontario,629900.0,1,3,4,4,6,Freehold,27.888391494750977
46,-79.4854046,43.8327687,Ontario,848000.0,1,3,3,3,28,Freehold,35.9870491027832
47,-78.8545651,43.9162033,Ontario,648000.0,1,3,4,2,37,Freehold,35.70388412475586
48,-82.58397,42.047015,Ontario,299000.0,1,3,4,2,70,Freehold,32.979549407958984
49,-75.77640699999998,45.376674,Ontario,279900.0,1,1,2,2,63,Condominium/Strata,50.303977966308594
50,-79.2783708,43.7154815,Ontario,785000.0,1,6,3,3,93,Freehold,33.634559631347656
51,-79.746669,43.6646488,Ontario,675555.0,1,3,4,3,32,Freehold,27.888391494750977
52,-80.26495820000002,44.0272964,Ontario,629900.0,1,3,3,2,138,Freehold,43.47314453125
53,-79.3139429,43.7949299,Ontario,419900.0,1,1,3,2,26,Condominium/Strata,31.319530487060547
54,-75.732008,45.343588,Ontario,513500.0,1,3,4,2,12,Freehold,36.43373489379883
55,-78.30696999999998,44.731552,Ontario,459000.0,1,3,2,1,14,Freehold,44.02265167236328
56,-80.65303399999998,44.323003,Ontario,349000.0,1,3,3,2,25,Freehold,38.004459381103516
57,-79.08255550000001,43.8396522,Ontario,539900.0,1,1,3,2,46,Condominium/Strata,35.342952728271484
58,-79.7391769,43.4655091,Ontario,1158000.0,1,3,5,4,18,Freehold,40.14651107788086
59,-79.4618814,43.8731291,Ontario,3100.0,2,3,4,4,30,Freehold,28.550508499145508
60,-79.38220629999998,43.6505117,Ontario,620000.0,1,1,2,1,45,Condominium/Strata,27.38382911682129
61,-79.574813,45.807035,Ontario,245000.0,1,3,3,1,31,Freehold,64.57462310791016
62,-79.71862709999998,43.5538877,Ontario,2250.0,2,6,3,3,4,Condominium/Strata,17.819814682006836
63,-75.726281,45.285216,Ontario,489900.0,1,3,2,3,35,Freehold,39.61861038208008
64,-79.4047021,43.6857143,Ontario,3300.0,2,1,3,2,63,Condominium/Strata,20.78243637084961
65,-79.6527334,44.3323085,Ontario,514900.0,1,3,4,3,28,Freehold,40.160911560058594
66,-76.280059,44.712272,Ontario,399000.0,1,3,3,1,134,Freehold,56.81758117675781
67,-79.52984690000002,44.3963974,Ontario,429000.0,1,1,2,1,93,Condominium/Strata,45.801063537597656
68,-79.5077343,43.6613649,Ontario,1800.0,2,1,1,1,25,Condominium/Strata,16.90086555480957
69,-74.697917,45.020104,Ontario,337400.0,1,1,2,2,152,Condominium/Strata,89.86420440673828
70,-79.4891528,43.8364982,Ontario,1350000.0,1,3,5,5,17,Freehold,43.647064208984375
71,-79.3649916,43.7550619,Ontario,5500.0,2,3,5,4,8,Freehold,26.0466365814209
72,-79.5396858,43.0902511,Ontario,519900.0,1,3,3,2,94,Freehold,39.8688850402832
73,-79.4708652,43.875586,Ontario,3200.0,2,3,4,4,19,Freehold,28.550508499145508
74,-79.73948359999999,43.5707394,Ontario,860000.0,1,3,3,3,54,Freehold,29.432537078857422
75,-79.2330223,43.9658929,Ontario,678000.0,1,3,4,3,34,Freehold,39.58817672729492
76,-79.2396157,43.9000688,Ontario,848000.0,1,6,3,3,121,Freehold,36.77267837524414
77,-79.7964505,44.1611538,Ontario,519900.0,1,3,2,2,10,Condominium/Strata,43.081459045410156
78,-76.69051800000003,45.475907,Ontario,120000.0,1,3,4,1,189,Freehold,53.37578201293945
79,-79.2649442,43.8080011,Ontario,345000.0,1,1,2,1,57,Condominium/Strata,34.73481750488281
80,-79.64923780000002,43.5886878,Ontario,1675.0,2,1,0,1,17,Condominium/Strata,22.06112289428711
81,-81.653122,44.16265300000001,Ontario,649000.0,1,3,2,2,236,Freehold,64.94873046875
82,-79.4125865,43.7655809,Ontario,426888.0,1,1,1,1,27,Condominium/Strata,27.42689323425293
