province,city,address,longitude,latitude,price,buildingTypeId,tradeTypeId,listingDate,daysOnMarket,bedrooms
Ontario,Brampton,103-100 Dufay Rd,-79.8436128,43.680148200000005,2000.0,2.0,2,19/4/2018,9,3.0
Quebec,Montréal,B 309-4100 Av. Benny,-73.63130885,45.46490641,1350.0,2.0,2,26/4/2018,56,1.0
Ontario,Toronto,704-2191 Yonge St,-79.3978352,43.7055062,2300.0,2.0,2,28/4/2018,19,2.0
Ontario,Brampton,4 Nadmarc St,-79.7323505,43.8096085,2950.0,1.0,2,18/4/2018,18,5.0
Ontario,Lefroy,938 Green St,-79.5621115,44.26848579999999,1850.0,1.0,2,16/4/2018,44,4.0
Ontario,Toronto,11 Brunel Court 3111,-79.39288499999999,43.639225,2800.0,2.0,2,6/4/2018,33,1.0
Quebec,Donnacona,205 Av. Leclerc,-71.7355182,46.67564085,395.0,2.0,2,6/4/2018,4,1.0
Ontario,Whitby,11 Ault Cres,-78.9302,43.8804,2100.0,1.0,2,6/4/2018,10,3.0
Ontario,Whitby,11 Ault Cres,-78.9302,43.8804,2100.0,1.0,2,6/4/2018,10,3.0
Ontario,Keswick,228 Royal Rd,-79.4683407,44.2177273,1350.0,1.0,2,11/4/2018,6,3.0
Ontario,North York,344 Horsham Ave,-79.4911,43.771,2900.0,1.0,2,28/4/2018,7,5.0
Quebec,Verdun,1488 Rue Foch,-73.589026,45.436752,1675.0,1.0,2,6/4/2018,16,2.0
Ontario,Mississauga,1344 Quest Circ,-79.7437,43.5941,2100.0,1.0,2,15/4/2018,2,3.0
Ontario,Richmond Hill,4 Tentone Crt,-79.4064,43.8983,2990.0,1.0,2,23/4/2018,5,6.0
Ontario,Richmond Hill,110 Redstone Rd,-79.40887099999999,43.887352,3300.0,1.0,2,1/5/2018,8,5.0
Ontario,Brampton,20 Ashcreek Dr,-79.7773779,43.650454499999995,2700.0,1.0,2,27/4/2018,43,4.0
Ontario,Milton,82 Locker Place,-79.85475500000001,43.485418,1800.0,1.0,2,17/4/2018,7,3.0
Ontario,Toronto,414-35 Boardwalk Dr,-79.30808809999999,43.664513299999996,4300.0,2.0,2,20/4/2018,43,2.0
Ontario,Toronto,414-35 Boardwalk Dr,-79.30808809999999,43.664513299999996,4300.0,2.0,2,20/4/2018,43,2.0
Ontario,Markham,76 Eyer Dr,-79.35615109999999,43.87446129999999,2900.0,1.0,2,5/4/2018,33,4.0
Ontario,Scarborough,12 Rhydwen Ave,-79.2672906,43.695059,2700.0,1.0,2,14/4/2018,55,3.0
Ontario,Scarborough,12 Rhydwen Ave,-79.2672906,43.695059,2700.0,1.0,2,14/4/2018,55,2.0
Quebec,Montréal,7966 10e Avenue,-73.608876,45.562295,950.0,2.0,2,19/4/2018,58,3.0
Ontario,North York,399 Patricia Ave,-79.43850069999999,43.785511,3280.0,1.0,2,23/4/2018,36,5.0
Ontario,Barrie,7 Simmons Crescent,-79.72018299999999,44.410032,1695.0,1.0,2,25/4/2018,10,3.0
Ontario,Nepean,357 River Landing Avenue,-75.7597,45.2707,2400.0,1.0,2,6/4/2018,5,4.0
Ontario,Woodbridge,110 Andes Cres,-79.5613824,43.84172720000001,1400.0,1.0,2,19/4/2018,13,1.0
Quebec,Saint-Bruno,1562 Rue St-Jacques,-73.33932996,45.52783237,1475.0,2.0,2,2/4/2018,82,2.0
